,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
1692,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,5947315,Corrective Maintenance,Corrective COR,2013-09-23 11:48:00,5.0,1.0,0.0,3310Y-125-103L,POTENTIOMETER,CONSUMABLE,1.0
1693,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",5850364,Corrective Maintenance,Corrective COR,2013-07-22 10:00:00,5.0,2.0,0.0,3310Y-125-103L,POTENTIOMETER,CONSUMABLE,2.0
1696,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Wainwright, AK",6107252,Corrective Maintenance,Corrective COR,2014-01-28 15:18:37,5.0,0.0,3.0,CZ143FN#140,CARTRIDGE INK,CONSUMABLE,3.0
1697,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Wainwright, AK",6107252,Corrective Maintenance,Corrective COR,2014-01-28 15:18:37,5.0,0.0,3.0,CZ143FN#140,CARTRIDGE INK,CONSUMABLE,3.0
1700,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Camp Shelby, MS",5233589,Corrective Maintenance,Corrective COR,2012-05-30 12:35:00,4.0,0.0,12.0,4RSCH10Y20,RATCHET STRAP,CONSUMABLE,12.0
1707,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",5883511,Corrective Maintenance,Corrective COR,2013-08-13 12:33:13,5.0,0.0,1.0,AD0812UB-A73GL-LF,FAN,CONSUMABLE,1.0
1717,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",6691403,Corrective Maintenance,Corrective COR,2015-02-18 18:54:55,6.0,0.0,3.0,CM85,LAMP,CONSUMABLE,3.0
1718,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",6691403,Corrective Maintenance,Corrective COR,2015-02-18 18:54:55,6.0,1.0,0.0,CM85,LAMP,CONSUMABLE,1.0
1720,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Schofield Barracks, HI",5224354,Corrective Maintenance,Corrective COR,2012-05-23 08:00:00,4.0,0.0,1.0,RT-15066B,TAPE,CONSUMABLE,1.0
1721,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Schofield Barracks, HI",5224354,Corrective Maintenance,Corrective COR,2012-05-23 08:00:00,4.0,0.0,10.0,441721,GLADHAND,CONSUMABLE,10.0
