,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
57675,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Riley, KS",7009258,Corrective Maintenance,Corrective COR,2015-08-21 10:00:00,7.0,1.0,0.0,SU494,"KNOCK SENSOR, DURALAST",CONSUMABLE,1.0
57698,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7012786,Corrective Maintenance,Corrective COR,2015-08-22 08:30:23,7.0,1.0,0.0,2522204,"DRIVE, HARD",CONSUMABLE,1.0
57711,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014501,PMCS,Preventive PM,2015-08-24 09:00:17,7.0,1.0,0.0,90125,"KIT, REPOWER TUNE UP, ECHO",CONSUMABLE,1.0
57712,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014501,PMCS,Preventive PM,2015-08-24 09:00:17,7.0,1.0,0.0,99944200200,"KIT, SRM SHOULDER HARNESS, ECHO",CONSUMABLE,1.0
57713,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014501,PMCS,Preventive PM,2015-08-24 09:00:17,7.0,1.0,0.0,21560031,"HEAD, TRIMMER, ECHO",CONSUMABLE,1.0
57714,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014524,PMCS,Preventive PM,2015-08-24 11:00:15,7.0,1.0,0.0,99944200200,"KIT, SRM SHOULDER HARNESS, ECHO",CONSUMABLE,1.0
57715,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014524,PMCS,Preventive PM,2015-08-24 11:00:15,7.0,1.0,0.0,90125,"KIT, REPOWER TUNE UP, ECHO",CONSUMABLE,1.0
57716,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014524,PMCS,Preventive PM,2015-08-24 11:00:15,7.0,1.0,0.0,21560031,"HEAD, TRIMMER, ECHO",CONSUMABLE,1.0
57717,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014546,PMCS,Preventive PM,2015-08-24 11:30:44,7.0,1.0,0.0,99944200200,"KIT, SRM SHOULDER HARNESS, ECHO",CONSUMABLE,1.0
57718,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014546,PMCS,Preventive PM,2015-08-24 11:30:44,7.0,1.0,0.0,90125,"KIT, REPOWER TUNE UP, ECHO",CONSUMABLE,1.0
57719,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014573,PMCS,Preventive PM,2015-08-24 10:30:59,7.0,1.0,0.0,90125,"KIT, REPOWER TUNE UP, ECHO",CONSUMABLE,1.0
57720,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7014573,PMCS,Preventive PM,2015-08-24 10:30:59,7.0,1.0,0.0,21560031,"HEAD, TRIMMER, ECHO",CONSUMABLE,1.0
