,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
83743,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5212997,System - Device Degraded,Corrective COR,2012-05-16 10:06:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
83761,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5212283,System - Device Degraded,Corrective COR,2012-05-16 10:15:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
83769,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5213270,System - Device Degraded,Corrective COR,2012-05-16 10:18:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
83774,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5213261,System - Device Degraded,Corrective COR,2012-05-16 10:20:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
83775,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5660398,System - Device Degraded,Corrective COR,2013-03-14 07:20:00,4.0,2.0,0.0,DVI-DB15,DVI CONNECTOR (LOT II'S AND UP),CONSUMABLE,2.0
83776,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5660398,System - Device Degraded,Corrective COR,2013-03-14 07:20:00,4.0,1.0,0.0,921340042,CABLE,CONSUMABLE,1.0
83778,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5660395,System - Device Degraded,Corrective COR,2013-03-14 07:21:00,4.0,2.0,0.0,DVI-DB15,DVI CONNECTOR (LOT II'S AND UP),CONSUMABLE,2.0
83779,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5660395,System - Device Degraded,Corrective COR,2013-03-14 07:21:00,4.0,1.0,0.0,921340042,CABLE,CONSUMABLE,1.0
83810,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6737198,System - Device Degraded,Corrective COR,2015-03-17 12:36:00,6.0,1.0,0.0,921340202-7,"EPRINTER, HP OFFICE JET 6100 - (PROVANTAGE)",CONSUMABLE,1.0
84024,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5515724,System - Device Degraded,Corrective COR,2012-12-05 14:01:00,4.0,2.0,0.0,5610000,"OIL, COMPRESSOR, JUN-AIR SJ-27",CONSUMABLE,2.0
84025,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5515724,System - Device Degraded,Corrective COR,2012-12-05 14:01:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
84026,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5515724,System - Device Degraded,Corrective COR,2012-12-05 14:01:00,4.0,2.0,0.0,5412000,FILTER,CONSUMABLE,2.0
