,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
104776,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5779162,System - Device Degraded,Corrective COR,2013-06-03 11:00:59,5.0,1.0,0.0,AEP-1500-241-P4,"INVERTER, 24VDC TO 110VAC, UNIVERSAL OUTLET",REPAIRABLE,1.0
104779,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Germany - Vilseck,6339167,Corrective Maintenance,Corrective COR,2014-06-16 08:30:00,6.0,1.0,0.0,FDC9902,"SEAT, GUNNERS WEBBED 5340-01-530-1744",REPAIRABLE,1.0
104784,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Germany - Hohenfels,6150732,Corrective Maintenance,Corrective COR,2014-02-26 08:30:00,5.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
104792,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5365452,Corrective Maintenance,Corrective COR,2012-08-06 16:30:00,4.0,2.0,0.0,900-US-07301,"HARNESS ASSEMBLY, HMMWV GUNNER (WITH SWIVEL)",REPAIRABLE,2.0
104794,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5365615,Corrective Maintenance,Corrective COR,2012-08-06 16:30:00,4.0,1.0,0.0,DTA185623,EXTERNAL DOOR LOCKING ASSY (LEFT TRAINING LOCK),REPAIRABLE,1.0
104795,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5365615,Corrective Maintenance,Corrective COR,2012-08-06 16:30:00,4.0,1.0,0.0,DTA185478,EXTERNAL DOOR LOCKING ASSY (RIGHT TRAINING LOCK),REPAIRABLE,1.0
104838,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5975182,System - Device Degraded,Corrective COR,2013-10-14 02:30:00,5.0,1.0,0.0,HT VER 1.0,"BOARD, HEAT TERMINAL (HT) VER 1.0",REPAIRABLE,1.0
104849,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Benning, GA",6168395,System - Device Down,Corrective COR,2014-03-06 13:30:00,5.0,1.0,0.0,DTA185580,"PLATE, STRIKE, GUNNER'S LOCK",REPAIRABLE,1.0
104861,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5701936,System - Device Degraded,Corrective COR,2013-04-09 12:00:00,4.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
104896,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5388563,System - Device Down,Corrective COR,2012-09-13 11:30:00,4.0,1.0,0.0,VT104XHBC,"DISPLAY, OPERATOR, VARTECH",REPAIRABLE,1.0
104897,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5388563,System - Device Down,Corrective COR,2012-09-13 11:30:00,4.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
104939,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Wainwright, AK",6416648,Corrective Maintenance,Corrective COR,2014-08-11 19:00:00,6.0,1.0,0.0,DTA185478,"LOCK, EXTERNAL DOOR LOCKING ASSY (RIGHT TRAINING LOCK)",REPAIRABLE,1.0
105027,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Bragg, NC",6342209,Corrective Maintenance,Corrective COR,2014-06-23 06:30:00,6.0,2.0,0.0,900-US-07301,"HARNESS ASSEMBLY, HMMWV GUNNER (WITH SWIVEL)",REPAIRABLE,2.0
