,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
136125,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5466021,Bench/Depot Repair,Corrective COR,2012-11-01 07:52:42,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136129,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5466025,Bench/Depot Repair,Corrective COR,2012-11-01 07:52:39,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136134,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR6004574,Bench/Depot Repair,Corrective COR,2013-11-07 00:00:00,5.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136137,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR6004575,Bench/Depot Repair,Corrective COR,2013-11-07 00:00:00,5.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136138,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR6004576,Bench/Depot Repair,Corrective COR,2013-11-07 00:00:00,5.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136140,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR6004577,Bench/Depot Repair,Corrective COR,2013-11-07 00:00:00,5.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136143,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR6004578,Bench/Depot Repair,Corrective COR,2013-11-07 00:00:00,5.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136145,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR6004579,Bench/Depot Repair,Corrective COR,2013-11-07 00:00:00,5.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136147,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR6418997,Bench/Depot Repair,Corrective COR,2014-08-15 00:00:00,6.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136149,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR6418998,Bench/Depot Repair,Corrective COR,2014-08-15 00:00:00,6.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136152,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR6418999,Bench/Depot Repair,Corrective COR,2014-08-15 00:00:00,6.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136158,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR5829448,Bench/Depot Repair,Corrective COR,2013-07-25 00:00:00,5.0,1.0,0.0,146840-1,"CCA, SAT LOT IV",REPAIRABLE,1.0
136165,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR5829450,Bench/Depot Repair,Corrective COR,2013-07-25 00:00:00,5.0,1.0,0.0,146840-1,"CCA, SAT LOT IV",REPAIRABLE,1.0
136176,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5303358,Bench/Depot Repair,Corrective COR,2012-07-18 16:48:12,4.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136178,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5303357,Bench/Depot Repair,Corrective COR,2012-07-18 16:48:11,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136205,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Stewart, GA",DR5692119,Bench/Depot Repair,Corrective COR,2013-04-03 11:26:06,4.0,1.0,0.0,146840-1,"CCA, SAT LOT IV",REPAIRABLE,1.0
136247,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5192637,Bench/Depot Repair,Corrective COR,2012-05-02 10:57:31,4.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136249,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5192634,Bench/Depot Repair,Corrective COR,2012-05-02 10:57:28,4.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136280,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5433906,Bench/Depot Repair,Corrective COR,2012-10-12 09:59:33,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136281,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5433904,Bench/Depot Repair,Corrective COR,2012-10-12 09:59:29,4.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136283,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5433903,Bench/Depot Repair,Corrective COR,2012-10-12 09:59:28,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
