,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
17842,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Camp Ripley, MN",7270560,System - Device Down,Corrective COR,2016-02-04 11:57:30,7.0,1.0,0.0,6EP1434-1SH01,POWER SUPPLY,REPAIRABLE,1.0
17843,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Camp Ripley, MN",7270560,System - Device Down,Corrective COR,2016-02-04 11:57:30,7.0,0.0,6.0,LPJ-2SP,"FUSE, 600V, 2A, CLASS J, AJT2, FERRAZ",CONSUMABLE,6.0
19455,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Rucker, AL",7435467,System - Device Down,Corrective COR,2016-05-16 07:00:04,8.0,1.0,0.0,70434-1,CONTACTOR,CONSUMABLE,1.0
19456,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Rucker, AL",7435467,System - Device Down,Corrective COR,2016-05-16 07:00:04,8.0,1.0,0.0,B120,CIRCUIT BREAKER,CONSUMABLE,1.0
19640,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",7458286,System - Device Down,Corrective COR,2016-06-01 11:30:00,8.0,1.0,0.0,APJ10487,PLUG,CONSUMABLE,1.0
19783,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",7481554,System - Device Down,Corrective COR,2016-06-15 11:20:00,8.0,1.0,0.0,6EP1434-1SH01,POWER SUPPLY,CONSUMABLE,1.0
19998,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",7515340,System - Device Down,Corrective COR,2016-07-06 14:00:00,8.0,0.0,1.0,13411,"SPLICER, INLINE, UNITAP, 14-I/O, BURBISER",CONSUMABLE,1.0
19999,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",7515340,System - Device Down,Corrective COR,2016-07-06 14:00:00,8.0,0.0,1.0,887480035414,"SCREW, MACHINE, 1/4"", 20 X 3, CROWN BOLT",CONSUMABLE,1.0
20000,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",7515340,System - Device Down,Corrective COR,2016-07-06 14:00:00,8.0,0.0,1.0,06143,"TAPE, ELECTRICAL, 3/4 X 66 FT, 3M",CONSUMABLE,1.0
20001,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",7515340,System - Device Down,Corrective COR,2016-07-06 14:00:00,8.0,0.0,1.0,36485,"LUG, MECH, 3/8, STUD, TITAN",CONSUMABLE,1.0
20002,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",7515340,System - Device Down,Corrective COR,2016-07-06 14:00:00,8.0,0.0,4.0,204313,"FLAT WASHERS, 5/16""",CONSUMABLE,4.0
20003,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",7515340,System - Device Down,Corrective COR,2016-07-06 14:00:00,8.0,0.0,1.0,AR1042,"HOUSING, RECEPTACLE GROUSE-HINDS",CONSUMABLE,1.0
20004,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",7515340,System - Device Down,Corrective COR,2016-07-06 14:00:00,8.0,0.0,1.0,24001 BUGC18A,"CLAMP, GROUND, 1-1/4 - 2 PIPE, BLACKBURN",CONSUMABLE,1.0
20005,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",7515340,System - Device Down,Corrective COR,2016-07-06 14:00:00,8.0,0.0,1.0,78376870459,"CLAMP, GROUND, 5/8"", X 1-9/16"", BLACKBURN",CONSUMABLE,1.0
20082,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",7524061,System - Device Down,Corrective COR,2016-07-11 15:40:00,8.0,0.0,1.0,ITE BQD390,"BREAKER, CIRCUIT, 90 AMP, 3 POLE, 277/480V, BLACK ELECTRICAL SUPPLY",CONSUMABLE,1.0
20085,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,7524165,System - Device Down,Corrective COR,2016-07-12 19:25:00,8.0,2.0,0.0,12-255,BATTERY,CONSUMABLE,2.0
20170,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7531088,System - Device Down,Corrective COR,2016-07-19 07:00:00,8.0,1.0,0.0,XTCEXFDC11,"CONTACTOR, AUXILIARY, EATON",CONSUMABLE,1.0
20171,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7531088,System - Device Down,Corrective COR,2016-07-19 07:00:00,8.0,0.0,1.0,XTCE009B10T,"CONTACTOR, NON-REVERSING, 24 VAC, 9A, 3-POLE, EATON",CONSUMABLE,1.0
20510,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",7574112,System - Device Down,Corrective COR,2016-08-12 18:00:00,8.0,0.0,1.0,6EP1434-1SH01,POWER SUPPLY,CONSUMABLE,1.0
20691,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",7589533,System - Device Down,Corrective COR,2016-08-22 18:30:54,8.0,0.0,2.0,APJ10487,PLUG,CONSUMABLE,2.0
20692,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",7589533,System - Device Down,Corrective COR,2016-08-22 18:30:54,8.0,0.0,1.0,APJ10487,PLUG,CONSUMABLE,1.0
21047,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7632877,System - Device Down,Corrective COR,2016-09-19 06:30:00,8.0,0.0,1.0,APJ10487,PLUG,CONSUMABLE,1.0
21048,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7632877,System - Device Down,Corrective COR,2016-09-19 06:30:00,8.0,0.0,1.0,480400,TESTER,CONSUMABLE,1.0
21857,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",7753842,System - Device Down,Corrective COR,2016-12-06 08:00:00,8.0,1.0,0.0,6EP1434-1SH01,POWER SUPPLY,REPAIRABLE,1.0
21858,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",7753842,System - Device Down,Corrective COR,2016-12-06 08:00:00,8.0,0.0,6.0,LPJ-2SP,"FUSE, 600V, 2A, CLASS J, AJT2, FERRAZ",CONSUMABLE,6.0
21957,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7762932,System - Device Down,Corrective COR,2016-12-16 15:30:00,8.0,0.0,3.0,X9SAE-V,"MOTHERBOARD, XEON E3-1200, V2 SERIES, SUPERMICRO",CONSUMABLE,3.0
21958,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7762932,System - Device Down,Corrective COR,2016-12-16 15:30:00,8.0,0.0,1.0,X9SAE-V,"MOTHERBOARD, XEON E3-1200, V2 SERIES, SUPERMICRO",CONSUMABLE,1.0
21959,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",7762986,System - Device Down,Corrective COR,2016-12-15 12:00:00,8.0,0.0,8.0,NP12-12TW,"BATTERY, SLA, 12V, PGTS",CONSUMABLE,8.0
22034,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7771518,System - Device Down,Corrective COR,2016-12-21 09:46:00,8.0,2.0,0.0,02G-P3-2738-KR,"CARD, VIDEO GEO FORCE GT 730 2GB, EVGA",CONSUMABLE,2.0
22043,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7771712,System - Device Down,Corrective COR,2016-12-21 11:00:00,8.0,1.0,0.0,B120,CIRCUIT BREAKER,CONSUMABLE,1.0
22047,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7771730,System - Device Down,Corrective COR,2016-12-21 11:17:00,8.0,0.0,1.0,I350-T4,"CARD, NETWORK, ETHERNET SERVER ADAPTER, INTEL",CONSUMABLE,1.0
22048,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7771735,System - Device Down,Corrective COR,2016-12-21 11:22:00,8.0,2.0,0.0,A001766-001,CCA,REPAIRABLE,2.0
22064,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7772057,System - Device Down,Corrective COR,2016-12-21 14:45:00,8.0,2.0,0.0,X9SAE-V,"MOTHERBOARD, XEON E3-1200, V2 SERIES, SUPERMICRO",CONSUMABLE,2.0
22257,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7792253,System - Device Down,Corrective COR,2017-01-12 08:00:00,8.0,2.0,0.0,70161,COIL,CONSUMABLE,2.0
22258,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",7792253,System - Device Down,Corrective COR,2017-01-12 08:00:00,8.0,1.0,0.0,B60,V BELT,CONSUMABLE,1.0
