,rmse_tsb,rmse_ses,rmse_dotm,rmse_rf,rmse_svr,rmse_mlp,mae_tsb,mae_ses,mae_dotm,mae_rf,mae_svr,mae_mlp
249,1.0737418240000007,0.1413427650988942,0.4214614879268414,0.1451940850596981,0.01,0.11710020412097864,1.0737418240000007,0.1413427650988942,0.4209187748917018,0.1451940850596981,0.01,0.11710020412097866
250,0.8192000000000004,0.03533130612218279,0.10857173030935029,0.03628659317484399,0.01,0.03977470348755485,0.8192000000000006,0.035331306122182785,0.10842989356931669,0.036286593174844,0.01,0.03977470348755485
251,2.9209096944266334e-22,0.007067135658405268,0.009588723532690418,0.009224531992524609,0.01,0.007820283266058214,2.920909694426633e-22,0.007067135658405268,0.009559729238012302,0.00922453199252461,0.01,0.007820283266058214
252,2.0859248397665268e-10,0.03533567700038613,0.03298781765927722,0.032768056067334975,0.01,0.04625596655122155,2.0859248397665266e-10,0.03533567700038613,0.032951906398038515,0.03276805606733497,0.01,0.04625596655122155
253,1.809251692051699e-09,0.021201405513028022,0.0020627205200303973,0.019877577482581253,0.010000000000000004,0.022254679094102614,1.809251692051699e-09,0.02120140551302803,0.0017305826644265132,0.019877577482581257,0.010000000000000004,0.02225467909410261
254,1.0737418240000007,0.1413427650988942,0.4214614879268414,0.1451940850596981,0.01,0.11710020412097864,1.0737418240000007,0.1413427650988942,0.4209187748917018,0.1451940850596981,0.01,0.11710020412097866
255,4.939053896226729e-05,0.07067137734742726,0.1690619439956138,0.05532502768544698,0.01,0.0794718538623711,4.939053896226731e-05,0.07067137734742727,0.16891164600958575,0.05532502768544699,0.01,0.0794718538623711
256,7.880401239278955e-14,0.0035335614431175797,0.0013118955852900378,0.0025376445441255236,0.01,0.008332432956941083,7.88040123927896e-14,0.0035335614431175814,0.0013108389065558503,0.002537644544125524,0.01,0.008332432956941083
257,9.263988459459622e-08,0.21555234331721243,0.28422541244713156,0.2024887421652108,0.009999999999999997,0.23856294416550392,9.26398845945962e-08,0.21555234331721237,0.2839918189588329,0.2024887421652108,0.009999999999999997,0.23856294416550397
258,6.216540455122367e-10,0.014134267979671421,0.016049809801935554,0.00870096031734707,0.01,0.011879817894308475,6.216540455122369e-10,0.014134267979671423,0.016031743431852114,0.008700960317347071,0.01,0.011879817894308475
259,5.871356456934624e-13,0.0035335614902691735,0.002027813201184897,0.001814286431476371,0.01,0.004936813227425896,5.871356456934625e-13,0.003533561490269174,0.002025855223535618,0.0018142864314763707,0.01,0.004936813227425896
260,2.115379100128813e-14,0.007067130337506102,0.001190778788787913,0.006537664185665451,0.01,0.006017034268134047,2.115379100128812e-14,0.007067130337506101,0.0011903380209843765,0.006537664185665451,0.01,0.006017034268134047
