,rmse_tsb,rmse_ses,rmse_dotm,rmse_knn,rmse_rf,rmse_svr,rmse_mlp,mae_tsb,mae_ses,mae_dotm,mae_knn,mae_rf,mae_svr,mae_mlp
19507,1.62E-21,0.014134269,0.00676342,0,0.017238301,0.01,0.009372205,1.62E-21,0.014134269,0.006614111,0,0.017238301,0.01,0.009372205
19508,0.08796093,0.035335682,0.101978798,0,0.021701593,0.01,0.042559548,0.08796093,0.035335682,0.101849034,0,0.021701593,0.01,0.042559548
19509,9.21E-19,0.00706713,0.005992382,0,0.005853216,0.01,0.010818162,9.21E-19,0.00706713,0.005983175,0,0.005853216,0.01,0.010818162
19510,0.608894295,0.646669131,0.68224288,0.58570886,0.652183489,0.587365269,0.591336919,0.405931283,0.483026693,0.545124945,0.163265306,0.250537178,0.11122449,0.23858272
19511,3.57E-05,0.035335691,0.075545906,0,0.029039259,0.01,0.031907099,3.57E-05,0.035335691,0.075453986,0,0.029039259,0.01,0.031907099
19512,1.38E-08,0.00706713,0.010713751,0.058823529,0.003623321,0.01,0.011450144,1.38E-08,0.00706713,0.010701205,0.058823529,0.003623321,0.01,0.011450144
19513,0.02462906,0.038869263,0.102074926,0,0.024235861,0.01,0.048114745,0.02462906,0.038869263,0.101949338,0,0.024235861,0.01,0.048114745
19514,0.137360562,0.136309475,0.136957653,0.14167828,0.141938779,0.141774469,0.156235441,0.018867936,0.029068597,0.021970498,0.048619448,0.027284904,0.03,0.049051858
19515,2.80E-12,0.003533561,0.002584165,0,0.003623574,0.01,0.004905334,2.80E-12,0.003533561,0.002581495,0,0.003623574,0.01,0.004905334
19516,1.519632206,1.074003274,1.337948426,0.941176471,0.672852175,0.010208818,0.599060371,1.519632206,1.074003274,1.337174517,0.941176471,0.672852175,0.010208818,0.599060371
19517,7.65E-22,0.035335689,0.061162022,0,0.036457796,0.01,0.041882539,7.65E-22,0.035335689,0.061076164,0,0.036457796,0.01,0.041882539
19518,3.32E-05,0.003533561,0.008330265,0,0.002906523,0.01,0.005931232,3.32E-05,0.003533561,0.008320018,0,0.002906523,0.01,0.005931232
19519,5.09E-11,0.003533561,0.0036161,0.029411765,0.002902532,0.01,0.002402499,5.09E-11,0.003533561,0.003612098,0.029411765,0.002902532,0.01,0.002402499
19520,0.000103881,0.07419763,0.196084005,0,0.049269692,0.01,0.074590235,0.000103881,0.07419763,0.195925588,0,0.049269692,0.01,0.074590235
19521,0.946599958,1.711937581,1.881018051,0.677135745,0.950511949,0.54846676,0.704054193,0.668288685,1.610620569,1.791701052,0.576230492,0.803195431,0.270515529,0.633702221
19522,4.29E-18,0.003533562,0.002197091,0,0.002552138,0.01,0.00365677,4.29E-18,0.003533562,0.002193501,0,0.002552138,0.01,0.00365677
19523,3.14E-07,0.00706713,0.012918054,0,0.010142713,0.01,0.010497814,3.14E-07,0.00706713,0.012902598,0,0.010142713,0.01,0.010497814
19524,0.137360564,0.137360564,0.137360564,0.142857143,0.142857143,0.142857143,0.162577569,0.018867925,0.018867925,0.018867925,0.020408163,0.020408163,0.020408163,0.040881981
19525,1.96E-22,0.014134273,0.025105254,0,0.018994689,0.01,0.014142344,1.96E-22,0.014134273,0.025070092,0,0.018994689,0.01,0.014142344
19526,3.53E-24,0.014134273,0.030870755,0,0.018968305,0.01,0.02453038,3.53E-24,0.014134273,0.030828229,0,0.018968305,0.01,0.02453038
19527,0.001475791,0.007100682,0.017839599,0,0.007022259,0.01,0.007682063,0.001475791,0.007100682,0.017822648,0,0.007022259,0.01,0.007682063
19528,6.97E-06,0.003533561,0.00778808,0,0.002197851,0.01,0.005814266,6.97E-06,0.003533561,0.007778573,0,0.002197851,0.01,0.005814266
19529,6.12E-23,0.003533568,0.006196257,0,0.006179442,0.01,0.005592013,6.12E-23,0.003533568,0.006187569,0,0.006179442,0.01,0.005592013
19530,0.56201353,0.542869269,0.54252059,0.504009067,0.504145121,0.512443463,0.507699406,0.181480496,0.342022798,0.332442944,0.31032413,0.306614769,0.150728059,0.33216945
19531,5.65E-25,0.003533567,0.007877881,0,0.00511377,0.01,0.007624461,5.65E-25,0.003533567,0.007867045,0,0.00511377,0.01,0.007624461
19532,2.61E-11,0.003533561,0.003378129,0.029411765,0.004001442,0.01,0.005970227,2.61E-11,0.003533561,0.003374435,0.029411765,0.004001442,0.01,0.005970227
19533,1.132661263,1.112768005,1.117703167,0.616072996,0.61548444,0.620482038,0.629332465,0.264307425,0.354156942,0.32694351,0.205882353,0.224314172,0.151632653,0.261800602
19534,4.52E-24,0.028268549,0.063023048,0,0.040910163,0.01,0.027331139,4.52E-24,0.028268549,0.06293636,0,0.040910163,0.01,0.027331139
19535,9.23E-08,0.002280361,0.023613609,0,0.076479666,0.009997366,0.107862988,9.23E-08,0.002280361,0.022268457,0,0.076479666,0.009997366,0.107862988
